WHO Region,Country Code,WHO Country Name,Location,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),Reference
European Region,ALB,Albania,Vrith,2015,13.24,19.52,9.57,European Environment Agency (downloaded in 2021)
European Region,ALB,Albania,Durres,2016,14.32,24.56,24.78,European Environment Agency (downloaded in 2021)
European Region,ALB,Albania,Korce,2016,28.64,40.21,12.52,European Environment Agency (downloaded in 2021)
Western Pacific Region,AUS,Australia,Adelaide,2012,7.3,16.53,8.93,EPA South Australia
Western Pacific Region,AUS,Australia,Palmerston,2012,12.0,25.9,7.0,NEPM
Western Pacific Region,AUS,Australia,Adelaide,2013,7.25,16.87,8.65,EPA South Australia
Western Pacific Region,AUS,Australia,Darwin,2013,6.9,19.8,7.8,NT-EPA
Western Pacific Region,AUS,Australia,Newcastle/Lower Hunter,2013,7.94,22.01,17.01,Office of Environment and Heritage NSW Government
Western Pacific Region,AUS,Australia,Sydney,2013,8.09,17.08,15.39,Office of Environment and Heritage NSW Government
Western Pacific Region,AUS,Australia,Wollongong/Illawarra,2013,7.75,16.92,12.03,Office of Environment and Heritage NSW Government
Western Pacific Region,AUS,Australia,Adelaide,2014,7.1,16.66,9.4,EPA South Australia
Western Pacific Region,AUS,Australia,Darwin,2014,8.1,21.7,8.0,Northern Territory Ambient Air Quality Monitoring Report 2014
Western Pacific Region,AUS,Australia,Darwin,2014,8.1,21.7,8.0,NT-EPA
Western Pacific Region,AUS,Australia,Muswellbrook,2014,9.7,21.44,19.47,Office of Environment and Heritage NSW Government
Western Pacific Region,AUS,Australia,Palmerston,2014,9.25,21.1,7.6,Northern Territory Ambient Air Quality Monitoring Report 2014
Western Pacific Region,AUS,Australia,Sydney,2014,7.68,16.55,14.36,Office of Environment and Heritage NSW Government
Western Pacific Region,AUS,Australia,Wollongong/Illawarra,2014,7.01,17.05,10.89,Office of Environment and Heritage NSW Government
Western Pacific Region,AUS,Australia,Adelaide,2015,7.45,16.06,9.78,EPA South Australia
Western Pacific Region,AUS,Australia,Darwin,2015,8.6,22.4,5.1,Northern Territory Ambient Air Quality Monitoring Report 2014
Western Pacific Region,AUS,Australia,Darwin,2015,8.6,22.4,5.1,NT-EPA
Western Pacific Region,AUS,Australia,Gladstone,2015,4.09,13.01,6.15,Queensland Government Data
Western Pacific Region,AUS,Australia,Muswellbrook,2015,8.66,19.1,17.78,Office of Environment and Heritage NSW Government
Western Pacific Region,AUS,Australia,Palmerston,2015,7.8,20.1,7.4,Northern Territory Ambient Air Quality Monitoring Report 2015
Western Pacific Region,AUS,Australia,Palmerston,2015,7.8,20.1,7.4,NEPM
Western Pacific Region,AUS,Australia,Wollongong/Illawarra,2015,6.98,16.23,11.06,Office of Environment and Heritage NSW Government
Western Pacific Region,AUS,Australia,Wynnum,2015,3.69,13.79,12.29,Queensland Government Data
Western Pacific Region,AUS,Australia,Wyong,2015,5.19,14.87,9.28,Office of Environment and Heritage NSW Government
Western Pacific Region,AUS,Australia,Yarwun,2015,5.1,13.18,9.02,Queensland Government Data
Western Pacific Region,AUS,Australia,Adelaide,2016,6.88,16.19,8.27,EPA South Australia
Western Pacific Region,AUS,Australia,Brisbane,2016,6.61,15.21,7.22,Queensland Government Data
Western Pacific Region,AUS,Australia,Darwin,2016,6.49,16.4,5.0,Nothern Territory Environnement Protection Authority
Western Pacific Region,AUS,Australia,Darwin,2016,6.5,16.4,5.0,NT-EPA
Western Pacific Region,AUS,Australia,Gladstone,2016,4.88,13.82,8.73,Queensland Government Data
Western Pacific Region,AUS,Australia,Muswellbrook,2016,8.42,19.24,17.75,Office of Environment and Heritage NSW Government
Western Pacific Region,AUS,Australia,Newcastle/Lower Hunter,2016,8.14,23.1,16.34,Office of Environment and Heritage NSW Government
Western Pacific Region,AUS,Australia,Palmerston,2016,7.15,15.2,3.8,Nothern Territory Environnement Protection Authority
Western Pacific Region,AUS,Australia,Singleton,2016,7.85,19.3,17.13,Office of Environment and Heritage NSW Government
Western Pacific Region,AUS,Australia,Sydney,2016,7.88,16.51,14.69,Office of Environment and Heritage NSW Government
Western Pacific Region,AUS,Australia,Wollongong/Illawarra,2016,7.06,17.4,10.28,Office of Environment and Heritage NSW Government
Western Pacific Region,AUS,Australia,Adelaide,2017,7.54,16.47,13.45,EPA South Australia
Western Pacific Region,AUS,Australia,Darwin,2017,7.0,17.65,5.75,Northern Territory Ambient Air Quality Monitoring Report 2017
Western Pacific Region,AUS,Australia,Palmerston,2017,7.3,19.5,4.5,Northern Territory Ambient Air Quality Monitoring Report 2017
Western Pacific Region,AUS,Australia,Adelaide,2018,6.78,19.21,12.11,EPA South Australia
Western Pacific Region,AUS,Australia,Darwin,2018,8.7,17.95,3.8,Northern Territory Ambient Air Quality Monitoring Report 2018
Western Pacific Region,AUS,Australia,Palmerston,2018,8.7,19.7,4.9,Northern Territory Ambient Air Quality Monitoring Report 2018
Western Pacific Region,AUS,Australia,Adelaide,2019,6.14,20.64,11.57,EPA South Australia
Western Pacific Region,AUS,Australia,Brisbane,2019,7.5,19.5,8.43,Qld Govt Open Data Portal
Western Pacific Region,AUS,Australia,Canberra,2019,13.9,21.93,9.42,ACT Governement
Western Pacific Region,AUS,Australia,Central Coast,2019,10.5,21.1,7.83,"NSW Department of Planning, Industry and Environment 2019 NEPM (in preparation)"
Western Pacific Region,AUS,Australia,Darwin,2019,9.1,22.8,3.65,Nothern Territory Environnement Protection Authority
Western Pacific Region,AUS,Australia,Gladstone,2019,7.1,17.57,4.77,Qld Govt Open Data Portal
Western Pacific Region,AUS,Australia,Gold Coast,2019,8.3,19.7,6.3,Qld Govt Open Data Portal
Western Pacific Region,AUS,Australia,Gunnedah,2019,11.2,24.8,9.7,"NSW Department of Planning, Industry and Environment 2019 NEPM (in preparation)"
Western Pacific Region,AUS,Australia,Latrobe Valley,2019,7.37,17.63,11.7,Environment Protection Authority Victoria
Western Pacific Region,AUS,Australia,Melbourne,2019,7.1,19.61,16.21,Environment Protection Authority Victoria
Western Pacific Region,AUS,Australia,Muswellbrook,2019,12.2,34.4,20.46,"NSW Department of Planning, Industry and Environment 2019 NEPM (in preparation)"
Western Pacific Region,AUS,Australia,Newcastle/Lower Hunter,2019,11.13,25.73,15.72,"NSW Department of Planning, Industry and Environment 2019 NEPM (in preparation)"
Western Pacific Region,AUS,Australia,Palmerston,2019,9.75,22.0,4.5,Nothern Territory Environnement Protection Authority
Western Pacific Region,AUS,Australia,Perth,2019,6.84,12.58,9.09,"Department of Water and Environmental Regulation, EPA Tasmania"
Western Pacific Region,AUS,Australia,Perth,2019,6.84,12.58,9.09,"Department of Water and Environmental Regulation, EPA Tasmania"
