so2,aqi,dew,pm10,r,uvi,d,wd,co.v,h.v,no2.v,o3.v,p.v,pm25.v,t.v,w.v,wg.v,no2,wg,so2.v,co,o3,pm25,aqi.v,dew.v,pm10.v,h,p,t,w,r.v,uvi.v,d.v,wd.v,city
,,,,,,,,3.2,3.0,27.6,18.0,1028.9,26.0,2.0,0.1,0.6,,,,,,,,,,,,,,,,,,bethel
,,,,,,,,2.3,60.3,,2.0,1030.5,16.0,2.9,0.5,2.0,,,,,,,,,,,,,,,,,,albany
,,,,,,,,2.7,84.5,23.5,6.4,1029.2,21.0,2.7,0.2,,,,8.3,,,,,,,,,,,,,,,hamilton
,,,,,,,,,66.0,,,1004.5,,32.5,2.5,,,,,,,,71.0,,,,,,,,,,,georgetown
,,,,,,,,,97.0,,16.1,1009.5,79.0,23.0,0.5,,,,,,,,,22.5,58.0,,,,,,,,,kourou
,,,,,,,,,,0.5,,,17.0,,,,,,,,,,,,12.0,,,,,,,,,yellowknife
,,,,,,,,,39.0,,,1014.0,5.0,26.0,6.1,18.0,,,,,,,,11.0,7.0,,,,,,,,,geraldton
,,,,,,,,,58.0,3.1,37.0,1001.7,,19.8,3.0,,,,12.4,,,,,11.3,51.0,,,,,0.3,,,,sinop
,,,,,,,,,91.0,13.0,9.6,1029.8,17.0,0.2,1.5,2.0,,,,,,,,,,,,,,,,,,adamstown
,,,,,,,,,76.0,,,1014.0,55.0,13.0,1.0,,,,,,,,,9.0,,,,,,,,,,coquimbo
,,,,,,,,,88.0,,,998.89,,17.06,4.6,13.8,,,,,,,,15.0,,,,,,0.2,,,,port elizabeth
,,,,,,,,,79.0,,,1006.0,,31.0,3.6,,,,,,,,40.0,,,,,,,,,,,mili
,,,,,,,,,77.0,,,1008.5,,8.3,11.0,27.0,,,,,,,,,9.0,,,,,,,,,invercargill
,,,,,,,,,57.2,,,1002.8,44.0,8.8,8.2,21.7,,,,,,,,,16.0,,,,,,,,,tralee
,,,,,,,,3.4,93.0,1.0,28.9,1018.6,9.0,13.0,3.0,8.2,,,1.5,,,,,12.0,5.0,,,,,,,,,lompoc
,,,,,,,,,45.0,,,991.6,4.0,13.3,3.6,,,,,,,,,1.6,2.0,,,,,,,,,broken hill
,,,,,,,,,38.0,,,1018.0,,24.0,4.1,,,,11.2,,,,,9.0,,,,,,,,,,saldanha
,,,,,,,,,93.0,13.0,4.0,1018.9,59.0,6.6,1.0,6.0,,,,,,,,,,,,,,,,,,merced
,,,,,,,,,86.0,,,982.0,9.0,-1.0,3.6,14.9,,,,,,,,-3.0,,,,,,,1.0,,,punta arenas
,,,,,,,,,43.9,,,683.5,,-11.0,1.0,,,,,,,,,-20.9,,,,,,99.0,,,,qamdo
,,,,,,,,0.1,80.0,1.1,9.6,1023.0,32.0,-1.0,5.6,8.7,,,0.2,,,,,-4.0,20.0,,,,,,,,,st. john's
,,,,,,,,,54.5,,,1014.4,,14.8,1.6,0.1,,,,,,,,,,,,,,,,,,newman
,,,,,,,,,86.0,2.3,11.8,1001.5,15.0,8.3,0.1,0.2,,,,,,,,,3.0,,,,,,,,,vernon
,,,,,,,,,75.9,,,,13.0,11.5,2.5,,,,,,,,,7.4,5.0,,,,,99.2,,,,new norfolk
,,,,,,,,4.0,44.5,14.0,,1018.0,66.0,22.0,2.5,12.3,,,13.0,,,,,9.5,23.0,,,,,,,,,ardakan
,,,,,,,,0.1,97.0,,,1009.5,,23.0,0.5,,,,,,,,,22.5,57.0,,,,,,,,,remire-montjoly
,,,,,,,,0.1,82.3,0.4,10.2,1022.4,30.0,-0.9,1.0,8.0,,,0.1,,,,,,14.0,,,,,,,,,mount pearl
,,,,,,,,,84.9,6.5,41.6,1004.4,25.0,19.0,3.0,,,,2.9,,,,,16.4,9.0,,,,,99.5,,,,shingu
,,,,,,,,,11.0,,,1004.0,38.0,40.0,6.6,,,,,,,,,5.0,,,,,,,,,,jeddah
,,,,,,,,4.2,83.0,10.3,25.9,1004.6,30.0,25.2,1.7,,,,1.5,,,,,21.9,16.0,,,,,0.4,1.0,,,hun
,,,,,,,,,60.0,3.8,19.2,1014.0,46.0,13.0,0.2,,,,1.5,,,,,4.2,9.0,,,,,0.3,,,,katsuura
,,,,,,,,,68.0,7.2,14.6,1014.0,8.0,30.0,4.8,10.8,,,0.2,,,,,23.5,22.0,,,,,,,,,saint-pierre
,,,,,,,,3.7,17.1,1.9,28.5,842.5,169.0,22.3,4.0,,,,1.6,,,,,,209.0,,,,,,,8.0,110.0,jiayuguan
