name,latitude,longitude,country,population,is_capital,is_rural
Bethel Park,40.3239,-80.0364,US,32345.0,False,False
Ribeira Grande,17.1825,-25.065,CV,,False,False
Edinburgh Of The Seven Seas,-37.0675,-12.3105,SH,,False,False
Albany,42.6664,-73.7987,US,586383.0,False,False
Abeokuta,7.15,3.35,NG,888924.0,False,False
Praia Da Vitoria,38.7333,-27.0667,PT,21035.0,False,False
Hamilton,43.2567,-79.8692,CA,693645.0,False,False
Suntar,62.1444,117.632,RU,8639.0,False,True
Puerto Natales,-51.7263,-72.5062,CL,19023.0,False,False
Badger,64.8006,-147.388,US,18792.0,False,False
Ntcheu,-14.8167,34.6333,MW,10445.0,False,True
Georgetown,6.7833,-58.1667,GY,200500.0,True,False
La Huacana,18.9625,-101.807,MX,9374.0,False,True
Kourou,5.16,-52.6499,GF,24029.0,False,False
Waitangi,-43.951,-176.561,NZ,300.0,False,True
Port Mathurin,-19.6833,63.4211,MU,5929.0,False,True
Avarua,-21.207,-159.771,CK,5445.0,False,True
Yellowknife,62.4709,-114.405,CA,19569.0,False,False
Haiku-Pauwela,20.9156,-156.302,US,8061.0,False,True
Tolanaro,-25.0333,46.9833,MG,16818.0,False,False
Grytviken,-54.2806,-36.508,GS,99.0,False,True
Kodiak,57.7934,-152.406,US,8851.0,False,True
Fonte Boa,-2.5138,-66.0916,BR,16060.0,False,False
Brownwood,31.7127,-98.9767,US,21729.0,False,False
Geraldton,-28.7744,114.609,AU,37648.0,False,False
Sinop,42.0267,35.1511,TR,64544.0,False,False
Margaret River,-33.955,115.075,AU,6392.0,False,True
Hawaiian Paradise Park,19.5828,-154.969,US,11479.0,False,True
Coquimbo,-29.9532,-71.338,CL,204068.0,False,False
Iqaluit,63.7598,-68.5107,CA,7740.0,False,True
Carnarvon,-30.9667,22.1333,ZA,5785.0,False,True
Port Elizabeth,-33.9581,25.6,ZA,312392.0,False,False
Baiquan,47.6018,126.082,CN,70472.0,False,False
Camana,-16.6233,-72.7092,PE,20956.0,False,False
Neiafu,-18.6496,-173.983,TO,7391.0,False,True
Reggio Emilia,44.7,10.6333,IT,170996.0,False,False
Invercargill,-46.429,168.362,NZ,48700.0,False,False
Bratsk,56.1667,101.617,RU,231602.0,False,False
Ponta Delgada,37.74,-25.67,PT,68809.0,False,False
Dillingen,49.35,6.7333,DE,20048.0,False,False
Tralee,52.2675,-9.6962,IE,26384.0,False,False
Lompoc,34.6618,-120.471,US,52020.0,False,False
Kapuskasing,49.4167,-82.4333,CA,8292.0,False,True
Sariwon,38.5039,125.759,KP,307764.0,False,False
Vorkuta,67.5,64.0333,RU,56088.0,False,False
Broken Hill,-31.9567,141.468,AU,17734.0,False,False
Klyuchi,56.3,160.85,RU,1089.0,False,True
Rio Grande,-32.0495,-52.12,BR,187838.0,False,False
Hermanus,-34.4167,19.3,ZA,25153.0,False,False
Bilibino,68.05,166.45,RU,5319.0,False,True
Saldanha,-32.9978,17.9456,ZA,68284.0,False,False
College Station,30.5852,-96.296,US,215243.0,False,False
Mount Gambier,-37.8294,140.783,AU,29639.0,False,False
Port Isabel,26.054,-97.2505,US,18686.0,False,False
Pemangkat,1.1727,108.981,ID,44783.0,False,False
Gorontalo,0.5411,123.059,ID,191897.0,False,False
Surat,21.17,72.83,IN,5807000.0,False,False
Merced,37.3057,-120.478,US,145149.0,False,False
Ushuaia,-54.8072,-68.3044,AR,56956.0,False,False
Puerto Pimentel,-6.8382,-79.9359,PE,15552.0,False,False
La Ronge,55.1,-105.3,CA,5671.0,False,True
Punta Arenas,-53.1627,-70.9081,CL,123403.0,False,False
Luderitz,-26.6478,15.1578,NA,12537.0,False,True
Nueva Gerona,21.8847,-82.8011,CU,46264.0,False,False
Serdar,38.9764,56.2758,TM,89582.0,False,False
Ambon,-3.705,128.17,ID,372249.0,False,False
Qamdo,31.1375,97.1777,CN,598862.0,False,False
St. John's,47.4817,-52.7971,CA,108860.0,False,False
Dudinka,69.4,86.1833,RU,21015.0,False,False
Ndende,-2.3829,11.3833,GA,6200.0,False,True
Jamestown,42.0975,-79.2366,US,40493.0,False,False
Chinde,-18.5833,36.4667,MZ,16500.0,False,False
Machakos,-1.5167,37.2667,KE,114109.0,False,False
San Pedro Pochutla,15.7463,-96.4652,MX,13685.0,False,True
Thompson,41.6474,-74.6745,US,14946.0,False,True
Al Ghayzah,16.2394,52.1638,YE,27404.0,False,False
Anadyr,64.7333,177.517,RU,15604.0,False,False
Whitehorse,60.7029,-135.069,CA,25085.0,False,False
Kingscliff,-28.2564,153.578,AU,7464.0,False,True
Newman,37.3157,-121.021,US,11783.0,False,True
Tamanrasset,22.785,5.5228,DZ,76000.0,False,False
Mount Vernon,40.9136,-73.8291,US,67345.0,False,False
Savanna-La-Mar,18.2167,-78.1333,JM,30000.0,False,False
Hammerfest,70.6634,23.6821,NO,8073.0,False,True
San Patricio,19.2,-104.683,MX,7569.0,False,True
Lihue,21.9728,-159.354,US,7381.0,False,True
Okhotsk,59.383,143.217,RU,5570.0,False,True
New Norfolk,-42.7828,147.059,AU,5432.0,False,True
San Antonio Oeste,-40.7333,-64.95,AR,16265.0,False,False
Xai-Xai,-25.05,33.65,MZ,116343.0,False,False
Chibougamau,49.9167,-74.3667,CA,7504.0,False,True
Bredasdorp,-34.5333,20.0417,ZA,14936.0,False,True
Port Saint John's,-31.6288,29.5369,ZA,5939.0,False,True
Minusinsk,53.7,91.6833,RU,68007.0,False,False
Puerto Baquerizo Moreno,-0.9025,-89.6092,EC,6533.0,False,True
Udachnyy,66.4,112.3,RU,11676.0,False,True
Stanley,53.7145,-1.476,GB,15314.0,False,False
Manta,-0.95,-80.7162,EC,217553.0,False,False
Kavaratti,10.5626,72.6369,IN,10688.0,False,True
Sandnessjoen,66.0167,12.6333,NO,6052.0,False,True
Magadan,59.5667,150.8,RU,92782.0,False,False
Aasiaat,68.7097,-52.8694,GL,3134.0,False,True
Mount Pearl Park,47.5189,-52.8058,CA,22957.0,False,False
Albu Kamal,34.4504,40.9186,SY,80808.0,False,False
Malanje,-9.54,16.34,AO,125856.0,False,False
Mutriku,43.3072,-2.385,ES,5333.0,False,True
Banjarmasin,-3.3333,114.583,ID,692793.0,False,False
Fort Saskatchewan,53.7128,-113.213,CA,24149.0,False,False
Vadso,70.0667,29.75,NO,4902.0,False,True
Verkhnevilyuysk,63.4457,120.317,RU,6341.0,False,True
Greymouth,-42.4667,171.2,NZ,8160.0,False,True
Margate,26.2466,-80.2119,US,58796.0,False,False
Reggane,26.7,0.1666,DZ,32974.0,False,False
Freetown,8.4833,-13.2331,SL,951000.0,True,False
Shingu,33.7153,130.447,JP,32691.0,False,False
Viedma,-40.8,-63.0,AR,59122.0,False,False
Fort Bragg,39.4399,-123.801,US,10374.0,False,True
Vikhorevka,56.1167,101.167,RU,21118.0,False,False
Quang Ngai,15.1206,108.792,VN,260252.0,False,False
Qaqortoq,60.7167,-46.0333,GL,3093.0,False,True
Leava,-14.2933,-178.158,WF,,False,False
Khandyga,62.666,135.6,RU,6796.0,False,True
Jeddah,21.5428,39.1728,SA,3976000.0,False,False
Barreiras,-12.1528,-44.99,BR,158292.0,False,False
