name,latitude,longitude,country,population,is_capital,main_aqi,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3,dt
Bethel Park,40.3239,-80.0364,US,32345.0,False,1.0,290.39,0.0,16.79,42.92,1.8,3.83,4.9,0.43,1714123828.0
Ribeira Grande,17.1825,-25.065,CV,,False,2.0,193.6,0.03,0.28,71.53,0.19,1.83,5.6,0.06,1714123829.0
Edinburgh Of The Seven Seas,-37.0675,-12.3105,SH,,False,1.0,210.29,0.0,0.01,36.84,0.12,3.22,7.53,0.0,1714123832.0
Albany,42.6664,-73.7987,US,586383.0,False,1.0,293.73,0.01,9.0,40.77,0.34,2.28,3.26,0.74,1714123836.0
Abeokuta,7.15,3.35,NG,888924.0,False,1.0,420.57,0.13,0.56,17.17,0.44,4.19,19.6,1.05,1714123839.0
Praia Da Vitoria,38.7333,-27.0667,PT,21035.0,False,3.0,208.62,0.02,0.45,114.44,0.45,2.28,8.98,0.0,1714123842.0
Hamilton,43.2567,-79.8692,CA,693645.0,False,2.0,494.0,0.01,54.84,22.53,13.95,9.12,14.99,3.48,1714123847.0
Suntar,62.1444,117.632,RU,8639.0,False,2.0,233.65,0.0,0.06,87.26,0.05,0.5,0.5,0.01,1714123850.0
Puerto Natales,-51.7263,-72.5062,CL,19023.0,False,1.0,208.62,0.0,0.07,36.12,0.03,0.5,0.54,0.07,1714123852.0
Badger,64.8006,-147.388,US,18792.0,False,2.0,213.62,0.0,0.47,68.67,0.01,0.54,0.65,0.01,1714123853.0
Ntcheu,-14.8167,34.6333,MW,10445.0,False,1.0,260.35,0.02,0.11,56.51,0.47,6.83,9.59,0.18,1714123871.0
Georgetown,6.7833,-58.1667,GY,200500.0,True,1.0,270.37,0.02,4.88,16.45,2.33,1.62,4.18,0.41,1714123874.0
La Huacana,18.9625,-101.807,MX,9374.0,False,1.0,270.37,0.0,1.71,37.55,1.97,6.3,8.44,0.58,1714123880.0
Kourou,5.16,-52.6499,GF,24029.0,False,1.0,253.68,0.01,0.89,18.77,0.39,2.03,8.26,0.13,1714123882.0
Waitangi,-43.951,-176.561,NZ,300.0,False,1.0,220.3,0.0,0.11,48.64,0.09,1.13,2.22,0.0,1714123884.0
Port Mathurin,-19.6833,63.4211,MU,5929.0,False,1.0,220.3,0.0,0.02,28.25,0.12,1.66,5.8,0.0,1714123889.0
Avarua,-21.207,-159.771,CK,5445.0,False,1.0,213.62,0.0,0.05,40.41,0.09,2.9,13.04,0.02,1714123891.0
Yellowknife,62.4709,-114.405,CA,19569.0,False,2.0,233.65,0.0,0.03,81.54,0.02,0.5,0.5,0.0,1714123894.0
Haiku-Pauwela,20.9156,-156.302,US,8061.0,False,3.0,201.94,0.0,0.14,103.0,0.1,1.97,8.09,0.01,1714123895.0
Tolanaro,-25.0333,46.9833,MG,16818.0,False,1.0,226.97,0.02,0.07,21.64,0.06,0.69,0.91,0.14,1714123899.0
Grytviken,-54.2806,-36.508,GS,99.0,False,1.0,220.3,0.0,0.02,32.54,0.05,0.97,1.46,0.0,1714123901.0
Kodiak,57.7934,-152.406,US,8851.0,False,2.0,230.31,0.0,0.46,71.53,0.2,0.5,0.55,0.1,1714123903.0
Fonte Boa,-2.5138,-66.0916,BR,16060.0,False,1.0,146.87,0.07,0.27,0.08,0.14,0.5,0.51,0.01,1714123905.0
Brownwood,31.7127,-98.9767,US,21729.0,False,1.0,220.3,0.0,1.03,51.5,0.57,4.18,7.58,0.59,1714123908.0
Geraldton,-28.7744,114.609,AU,37648.0,False,1.0,223.64,0.01,0.38,28.61,0.16,4.06,16.48,0.18,1714123910.0
Sinop,42.0267,35.1511,TR,64544.0,False,2.0,220.3,0.12,0.58,87.26,0.78,12.51,16.78,0.14,1714123913.0
Margaret River,-33.955,115.075,AU,6392.0,False,2.0,230.31,0.0,1.36,80.82,2.15,4.84,10.69,0.68,1714123916.0
Hawaiian Paradise Park,19.5828,-154.969,US,11479.0,False,2.0,211.95,0.0,1.36,76.53,4.23,2.83,9.39,0.31,1714123917.0
Coquimbo,-29.9532,-71.338,CL,204068.0,False,1.0,293.73,0.0,3.38,28.97,1.07,5.14,7.74,0.47,1714123933.0
Iqaluit,63.7598,-68.5107,CA,7740.0,False,2.0,253.68,0.0,0.01,70.81,0.03,0.5,0.51,0.0,1714123934.0
Carnarvon,-30.9667,22.1333,ZA,5785.0,False,2.0,240.33,0.04,0.14,47.21,0.06,6.8,41.89,0.14,1714123937.0
Port Elizabeth,-33.9581,25.6,ZA,312392.0,False,1.0,310.42,0.91,3.13,40.05,5.72,3.74,7.5,1.14,1714123938.0
Baiquan,47.6018,126.082,CN,70472.0,False,2.0,257.02,0.03,1.25,98.71,0.81,0.76,1.63,8.11,1714123941.0
Camana,-16.6233,-72.7092,PE,20956.0,False,2.0,250.34,0.0,2.16,41.49,0.63,6.98,21.98,1.16,1714123946.0
Neiafu,-18.6496,-173.983,TO,7391.0,False,1.0,210.29,0.0,0.1,21.64,0.05,0.95,3.41,0.53,1714123963.0
Reggio Emilia,44.7,10.6333,IT,170996.0,False,3.0,290.39,0.4,2.64,105.86,0.56,10.27,11.56,5.51,1714123967.0
Invercargill,-46.429,168.362,NZ,48700.0,False,1.0,216.96,0.0,0.1,35.05,0.06,0.5,1.2,0.1,1714123968.0
Bratsk,56.1667,101.617,RU,231602.0,False,2.0,293.73,0.13,1.44,89.41,2.09,0.5,0.54,0.06,1714123969.0
Ponta Delgada,37.74,-25.67,PT,68809.0,False,3.0,208.62,0.03,0.56,117.3,0.52,2.73,11.04,0.0,1714123970.0
Dillingen,49.35,6.7333,DE,20048.0,False,1.0,230.31,0.48,5.14,59.37,0.38,3.46,4.03,2.22,1714123976.0
Tralee,52.2675,-9.6962,IE,26384.0,False,2.0,220.3,0.15,3.64,95.84,1.65,1.93,2.15,2.5,1714123977.0
Lompoc,34.6618,-120.471,US,52020.0,False,2.0,210.29,0.0,0.46,91.55,0.62,1.32,3.64,0.06,1714123978.0
Kapuskasing,49.4167,-82.4333,CA,8292.0,False,2.0,226.97,0.0,0.38,90.12,0.14,0.5,0.56,0.03,1714123987.0
Sariwon,38.5039,125.759,KP,307764.0,False,3.0,360.49,0.04,3.3,114.44,5.25,30.49,38.28,4.94,1714123988.0
Vorkuta,67.5,64.0333,RU,56088.0,False,2.0,260.35,1.37,2.36,97.28,1.65,1.24,1.45,0.11,1714123991.0
Broken Hill,-31.9567,141.468,AU,17734.0,False,1.0,213.62,0.0,0.74,42.56,4.23,1.15,4.8,0.25,1714123994.0
Klyuchi,56.3,160.85,RU,1089.0,False,2.0,230.31,0.0,1.05,62.23,0.15,0.51,0.62,0.05,1714123995.0
Rio Grande,-32.0495,-52.12,BR,187838.0,False,1.0,233.65,0.0,1.2,42.56,0.81,3.59,5.9,0.09,1714123997.0
Hermanus,-34.4167,19.3,ZA,25153.0,False,1.0,240.33,0.08,0.37,38.62,0.18,0.82,1.64,0.04,1714123999.0
Bilibino,68.05,166.45,RU,5319.0,False,2.0,223.64,0.0,0.23,79.39,0.08,0.5,0.51,0.01,1714124001.0
Saldanha,-32.9978,17.9456,ZA,68284.0,False,1.0,297.07,0.92,2.68,51.5,3.07,3.71,6.89,0.39,1714124002.0
College Station,30.5852,-96.296,US,215243.0,False,2.0,230.31,0.0,0.51,61.51,0.2,4.75,13.36,0.41,1714124006.0
Mount Gambier,-37.8294,140.783,AU,29639.0,False,1.0,220.3,0.0,1.02,35.05,0.12,0.5,1.06,0.21,1714124007.0
Port Isabel,26.054,-97.2505,US,18686.0,False,2.0,240.33,0.0,0.78,68.67,0.66,12.95,33.56,0.18,1714124009.0
Pemangkat,1.1727,108.981,ID,44783.0,False,1.0,433.92,0.0,0.17,36.84,0.03,4.62,5.05,0.04,1714124011.0
Gorontalo,0.5411,123.059,ID,191897.0,False,1.0,433.92,0.3,6.17,6.88,1.8,3.98,5.04,1.69,1714124012.0
Surat,21.17,72.83,IN,5807000.0,False,3.0,403.88,2.63,20.91,101.57,55.31,26.71,38.69,1.0,1714124018.0
Merced,37.3057,-120.478,US,145149.0,False,2.0,220.3,0.0,3.34,83.69,1.09,1.05,2.36,3.9,1714124019.0
Ushuaia,-54.8072,-68.3044,AR,56956.0,False,1.0,210.29,0.0,0.48,28.25,0.11,0.5,0.86,0.11,1714124020.0
Puerto Pimentel,-6.8382,-79.9359,PE,15552.0,False,1.0,267.03,0.0,1.09,32.9,0.68,3.97,8.37,0.14,1714124021.0
La Ronge,55.1,-105.3,CA,5671.0,False,2.0,213.62,0.0,0.2,78.68,0.02,0.5,0.51,0.16,1714124023.0
Punta Arenas,-53.1627,-70.9081,CL,123403.0,False,1.0,210.29,0.0,0.14,35.05,0.01,0.5,0.52,0.24,1714124031.0
Luderitz,-26.6478,15.1578,NA,12537.0,False,2.0,277.04,0.05,0.21,49.35,0.52,9.29,21.27,0.0,1714124032.0
Nueva Gerona,21.8847,-82.8011,CU,46264.0,False,2.0,233.65,0.0,0.48,98.71,0.3,5.94,12.25,0.38,1714124034.0
Serdar,38.9764,56.2758,TM,89582.0,False,3.0,196.93,0.08,0.37,118.73,0.42,10.35,56.56,1.5,1714124035.0
Ambon,-3.705,128.17,ID,372249.0,False,1.0,473.98,0.02,7.11,15.02,1.51,3.5,4.69,0.9,1714124037.0
Qamdo,31.1375,97.1777,CN,598862.0,False,3.0,151.87,0.07,0.28,101.57,0.05,2.13,5.02,4.05,1714124041.0
St. John's,47.4817,-52.7971,CA,108860.0,False,2.0,236.99,0.03,1.3,80.11,1.43,0.5,1.61,0.06,1714124042.0
Dudinka,69.4,86.1833,RU,21015.0,False,2.0,240.33,0.02,0.19,95.84,0.15,0.5,0.52,0.06,1714124044.0
Ndende,-2.3829,11.3833,GA,6200.0,False,1.0,260.35,0.06,0.25,13.95,0.0,0.69,0.79,0.03,1714124046.0
Jamestown,42.0975,-79.2366,US,40493.0,False,2.0,236.99,0.0,2.12,66.52,0.15,1.06,1.26,0.75,1714124047.0
Chinde,-18.5833,36.4667,MZ,16500.0,False,1.0,280.38,0.01,0.03,43.63,0.09,2.19,5.39,0.03,1714124049.0
Machakos,-1.5167,37.2667,KE,114109.0,False,1.0,210.29,0.05,0.41,14.48,0.06,0.59,1.89,0.59,1714124050.0
San Pedro Pochutla,15.7463,-96.4652,MX,13685.0,False,1.0,236.99,0.0,1.61,15.91,0.15,9.8,11.9,0.92,1714124054.0
Thompson,41.6474,-74.6745,US,14946.0,False,1.0,236.99,0.0,1.76,54.36,0.05,1.09,1.33,0.38,1714124055.0
Al Ghayzah,16.2394,52.1638,YE,27404.0,False,2.0,211.95,0.02,0.1,64.37,0.18,8.73,43.5,0.0,1714124057.0
Anadyr,64.7333,177.517,RU,15604.0,False,2.0,243.66,0.0,0.87,65.09,0.39,0.5,0.53,0.07,1714124059.0
Whitehorse,60.7029,-135.069,CA,25085.0,False,2.0,210.29,0.0,0.25,62.94,0.1,0.5,0.59,0.03,1714124060.0
Kingscliff,-28.2564,153.578,AU,7464.0,False,1.0,223.64,0.0,1.5,40.05,0.34,1.04,2.57,0.23,1714124062.0
Newman,37.3157,-121.021,US,11783.0,False,2.0,220.3,0.0,2.87,79.39,0.29,0.68,1.5,2.57,1714124064.0
Tamanrasset,22.785,5.5228,DZ,76000.0,False,4.0,175.24,0.06,0.21,81.54,0.06,24.43,110.7,0.05,1714124065.0
Mount Vernon,40.9136,-73.8291,US,67345.0,False,3.0,761.03,29.95,81.57,0.0,1.52,23.2,31.85,0.5,1714124069.0
Savanna-La-Mar,18.2167,-78.1333,JM,30000.0,False,1.0,198.6,0.0,1.69,40.05,1.94,1.72,4.64,0.39,1714124074.0
Hammerfest,70.6634,23.6821,NO,8073.0,False,2.0,243.66,0.59,1.65,60.8,1.3,0.82,0.84,0.05,1714124091.0
San Patricio,19.2,-104.683,MX,7569.0,False,2.0,216.96,0.0,2.53,22.53,0.24,10.73,15.68,0.89,1714124092.0
Lihue,21.9728,-159.354,US,7381.0,False,2.0,193.6,0.0,0.36,90.12,0.2,3.91,19.17,0.04,1714124095.0
Okhotsk,59.383,143.217,RU,5570.0,False,1.0,233.65,0.0,0.29,45.06,0.06,0.5,0.55,0.0,1714124097.0
New Norfolk,-42.7828,147.059,AU,5432.0,False,1.0,213.62,0.0,3.04,31.83,1.34,0.77,1.45,0.15,1714124098.0
San Antonio Oeste,-40.7333,-64.95,AR,16265.0,False,1.0,240.33,0.0,0.62,39.34,0.12,0.92,3.22,0.4,1714124102.0
Xai-Xai,-25.05,33.65,MZ,116343.0,False,1.0,253.68,0.04,0.15,41.13,0.24,1.4,4.01,0.55,1714124104.0
Chibougamau,49.9167,-74.3667,CA,7504.0,False,1.0,230.31,0.0,0.96,47.92,0.3,0.5,0.52,0.04,1714124107.0
Bredasdorp,-34.5333,20.0417,ZA,14936.0,False,1.0,233.65,0.04,0.15,39.7,0.14,1.08,3.06,0.01,1714124115.0
Port Saint John's,-31.6288,29.5369,ZA,5939.0,False,1.0,233.65,0.07,1.06,31.83,0.59,1.04,1.51,0.11,1714124119.0
Minusinsk,53.7,91.6833,RU,68007.0,False,2.0,236.99,0.04,0.41,75.82,0.67,0.5,0.56,0.28,1714124134.0
Puerto Baquerizo Moreno,-0.9025,-89.6092,EC,6533.0,False,1.0,253.68,0.0,0.03,23.96,0.07,1.56,5.94,0.03,1714124136.0
Udachnyy,66.4,112.3,RU,11676.0,False,2.0,230.31,0.0,0.02,87.98,0.0,0.5,0.5,0.0,1714124143.0
Stanley,53.7145,-1.476,GB,15314.0,False,2.0,236.99,1.52,8.57,77.96,3.22,1.66,2.11,1.44,1714124155.0
Manta,-0.95,-80.7162,EC,217553.0,False,1.0,300.41,0.0,0.74,25.39,0.54,4.55,7.75,0.08,1714124163.0
Kavaratti,10.5626,72.6369,IN,10688.0,False,2.0,223.64,0.03,0.15,58.65,0.22,12.96,26.14,0.0,1714124183.0
Sandnessjoen,66.0167,12.6333,NO,6052.0,False,2.0,226.97,0.06,0.27,94.41,0.13,0.5,0.51,0.11,1714124200.0
Magadan,59.5667,150.8,RU,92782.0,False,2.0,233.65,0.0,0.18,72.24,0.15,0.5,0.52,0.02,1714124202.0
Aasiaat,68.7097,-52.8694,GL,3134.0,False,2.0,243.66,0.0,0.32,75.1,0.12,0.5,0.5,0.0,1714124203.0
Mount Pearl Park,47.5189,-52.8058,CA,22957.0,False,2.0,240.33,0.02,0.8,85.12,0.98,0.5,1.66,0.03,1714124205.0
Albu Kamal,34.4504,40.9186,SY,80808.0,False,4.0,210.29,0.07,0.42,144.48,1.0,19.12,71.47,1.19,1714124206.0
Malanje,-9.54,16.34,AO,125856.0,False,1.0,297.07,0.02,0.44,33.26,0.48,3.53,5.81,0.84,1714124211.0
Mutriku,43.3072,-2.385,ES,5333.0,False,2.0,220.3,0.28,4.54,72.24,0.27,1.48,2.63,1.49,1714124218.0
Banjarmasin,-3.3333,114.583,ID,692793.0,False,1.0,393.87,0.03,5.83,11.09,6.08,9.15,11.24,2.66,1714124219.0
Fort Saskatchewan,53.7128,-113.213,CA,24149.0,False,2.0,216.96,0.0,0.81,70.81,0.03,0.5,0.66,4.24,1714124220.0
Vadso,70.0667,29.75,NO,4902.0,False,1.0,226.97,0.39,0.72,55.08,0.25,0.91,1.1,0.0,1714124221.0
Verkhnevilyuysk,63.4457,120.317,RU,6341.0,False,2.0,243.66,0.01,0.22,80.82,0.13,0.5,0.5,0.0,1714124222.0
Greymouth,-42.4667,171.2,NZ,8160.0,False,1.0,210.29,0.0,0.03,34.33,0.05,0.5,1.25,0.0,1714124228.0
Margate,26.2466,-80.2119,US,58796.0,False,2.0,211.95,0.0,4.28,64.37,0.68,2.89,9.19,0.16,1714124229.0
Reggane,26.7,0.1666,DZ,32974.0,False,5.0,213.62,0.04,0.12,72.24,0.12,55.91,324.47,0.06,1714124231.0
Freetown,8.4833,-13.2331,SL,951000.0,True,2.0,190.26,0.03,0.21,64.37,0.43,12.49,38.84,0.0,1714124233.0
Shingu,33.7153,130.447,JP,32691.0,False,4.0,367.17,0.01,15.59,117.3,11.21,58.67,61.34,0.0,1714124234.0
Viedma,-40.8,-63.0,AR,59122.0,False,1.0,226.97,0.0,0.3,37.91,0.05,0.97,2.9,0.24,1714124236.0
Fort Bragg,39.4399,-123.801,US,10374.0,False,2.0,201.94,0.0,0.44,77.25,0.41,1.48,3.07,0.0,1714124238.0
Vikhorevka,56.1167,101.167,RU,21118.0,False,2.0,220.3,0.01,0.07,85.12,0.01,0.5,0.51,0.03,1714124240.0
Quang Ngai,15.1206,108.792,VN,260252.0,False,2.0,473.98,0.15,5.27,91.55,2.47,14.76,16.74,5.26,1714124241.0
Qaqortoq,60.7167,-46.0333,GL,3093.0,False,2.0,226.97,0.0,0.27,81.54,0.08,0.5,0.5,0.01,1714124243.0
Leava,-14.2933,-178.158,WF,,False,1.0,203.61,0.0,0.06,14.48,0.05,0.64,2.11,0.01,1714124259.0
Khandyga,62.666,135.6,RU,6796.0,False,2.0,236.99,0.0,0.03,74.39,0.0,0.5,0.5,0.01,1714124263.0
Jeddah,21.5428,39.1728,SA,3976000.0,False,3.0,267.03,2.01,17.48,131.61,51.02,24.34,41.28,0.0,1714124273.0
Barreiras,-12.1528,-44.99,BR,158292.0,False,1.0,213.62,0.13,1.82,4.83,0.2,1.15,1.29,0.48,1714124274.0
Tidjikja,18.55,-11.4166,MR,19981.0,False,5.0,203.61,0.01,0.04,67.23,0.05,46.94,276.93,0.12,1714124276.0
Port Douglas,-16.4834,145.465,AU,3504.0,False,1.0,226.97,0.0,0.24,42.56,0.08,0.84,1.17,0.0,1714124278.0
Rundu,-17.9167,19.7667,NA,63431.0,False,1.0,253.68,0.01,0.04,49.35,0.92,7.64,9.17,0.0,1714124282.0
Hithadhoo,-0.6,73.0833,MV,,False,1.0,257.02,0.0,0.1,19.85,0.04,0.54,1.21,0.0,1714124286.0
Kidal,18.4411,1.4078,ML,,False,4.0,203.61,0.03,0.09,51.5,0.01,37.78,190.93,0.27,1714124296.0
Changchun,43.9,125.2,CN,7674439.0,False,2.0,250.34,0.02,8.23,79.39,1.57,3.42,7.19,19.25,1714124299.0
Wailua Homesteads,22.065,-159.377,US,5900.0,False,2.0,198.6,0.0,0.18,98.71,0.19,3.6,19.56,0.02,1714124301.0
Alotau,-10.3167,150.433,PG,11624.0,False,1.0,211.95,0.0,0.1,31.83,0.12,1.99,2.74,0.0,1714124302.0
Mandi Bahauddin,32.5861,73.4917,PK,157352.0,False,3.0,370.5,0.04,1.5,135.9,1.42,9.88,17.98,7.41,1714124308.0
Port Shepstone,-30.7411,30.4547,ZA,52793.0,False,1.0,263.69,0.06,1.29,39.34,1.18,1.59,2.14,0.17,1714124310.0
Katsuura,35.1525,140.321,JP,17324.0,False,3.0,250.34,0.0,2.1,124.45,1.28,12.89,31.35,0.39,1714124316.0
Lipany,49.1528,20.9619,SK,6484.0,False,3.0,211.95,0.13,0.54,114.44,0.35,2.1,2.35,2.01,1714124317.0
Batticaloa,7.717,81.7,LK,129222.0,False,1.0,236.99,0.01,0.05,43.99,0.06,1.07,1.99,0.31,1714124318.0
Jiayuguan,39.8112,98.2862,CN,231853.0,False,3.0,178.58,0.07,0.99,125.89,1.76,14.04,57.28,1.58,1714124320.0
Luleburgaz,41.4056,27.3569,TR,148037.0,False,2.0,223.64,0.13,1.46,95.84,0.32,2.58,4.41,1.96,1714124324.0
Tumaco,1.81,-78.81,CO,86713.0,False,1.0,300.41,0.0,0.05,22.35,0.08,2.64,3.65,0.0,1714124326.0
Makassar,-5.1331,119.414,ID,1651146.0,False,2.0,1295.09,0.0,29.13,47.92,10.49,19.57,26.83,1.92,1714124332.0
Mirnyy,62.5333,113.95,RU,35223.0,False,2.0,233.65,0.02,0.47,90.84,0.05,0.5,0.5,0.02,1714124333.0
Kingston,17.9714,-76.7931,JM,580000.0,True,1.0,487.33,0.09,10.28,15.74,4.89,7.85,14.37,3.07,1714124335.0
Dubbo,-32.2569,148.601,AU,38392.0,False,1.0,233.65,0.0,1.8,35.76,0.85,4.62,5.45,0.54,1714124338.0
Siguiri,11.4171,-9.1666,GN,50159.0,False,3.0,343.8,0.05,0.36,45.42,0.23,28.49,58.49,1.25,1714124339.0
Anamosa,42.1091,-91.2758,US,5500.0,False,3.0,247.0,0.0,1.82,103.0,0.85,8.84,9.41,3.39,1714124342.0
Lagunas,-20.9829,-69.6833,CL,10.0,False,3.0,216.96,0.0,0.42,50.78,0.95,15.25,52.38,0.0,1714124344.0
Jalalpur Jattan,32.7667,74.2167,PK,90130.0,False,3.0,330.45,0.0,1.32,137.33,1.94,13.46,20.47,6.9,1714124346.0
Saint-Philippe,45.35,-73.47,CA,5495.0,False,2.0,494.0,4.86,40.1,1.61,16.21,8.2,12.37,11.27,1714124347.0
Luganville,-15.5126,167.177,VU,13397.0,False,1.0,191.93,0.0,0.03,13.59,0.02,1.75,2.78,0.1,1714124357.0
Mossel Bay,-34.1833,22.1333,ZA,59031.0,False,1.0,233.65,0.11,0.63,37.19,0.34,0.87,2.42,0.05,1714124358.0
Tiksi,71.6269,128.835,RU,5700.0,False,2.0,247.0,0.0,0.01,77.25,0.21,0.5,0.54,0.0,1714124360.0
Kamina,-8.73,25.01,CD,128803.0,False,1.0,257.02,0.02,0.07,39.34,0.06,4.81,5.69,0.33,1714124361.0
Port Lincoln,-34.7322,135.859,AU,16326.0,False,1.0,220.3,0.0,0.46,47.21,0.09,0.56,1.78,0.08,1714124363.0
